,10,11,12,13,14,15,16,17,20,21,22,23,24,25,26,30,31,32,40,50
,Boschi di larice e cembro,Boschi di abete rosso,Boschi di abete bianco,Pinete di pino silvestre e montano,"Pinete di pino nero, laricio e loricato",Pinete di pini mediterranei,"Altri boschi di conifere, pure o miste",Piantagioni di conifere,Faggete,"Querceti di rovere, roverella e farnia","Cerrete, boschi di farnetto, fragno e vallonea",Castagneti,"Ostrieti, carpineti",Boschi igrofili,Altri boschi caducifogli,Leccete,Sugherete,Altri boschi di latifoglie sempreverdi,Non classificato,Macchia alta
Piemonte,47.5,110.9,110.7,61.7,50.9,19.9,55.7,93.5,81,40.3,81.3,67.3,41.4,40.7,44.6,0,0,0,12.7,
Valle d'Aosta,50.6,82.3,85.2,56,40.7,0,0,0,115.4,46.8,0,56.3,0,0,34.5,0,0,0,0,
Lombardia,70.5,101.9,126.6,57.6,79.3,0,66.8,110.7,85.3,53.1,76,83,36.1,41.6,52.7,0,0,25.5,13.5,64.9725
Alto Adige,70,106.6,121.1,87.7,6.9,0,0,0,81.7,46.8,0,66.1,59.4,48.7,70.2,0,0,0,17.7,
Trentino,55.6,114.9,135,62.9,79.1,0,0,0,85.5,52,0,91.3,45.4,67.2,53.3,12.9,0,0,0,
Veneto,63.2,106.4,143.1,51.2,55.7,85.3,0,0,100.1,61.7,0,57,54.1,28.6,41.3,65.7,0,0,0,64.9725
Friuli V.G.,37.3,131.5,190.5,52.1,64.6,30.3,76.9,0,104.6,47.9,0,110.3,43.6,20.3,59.4,0,0,0,0,64.9725
Liguria,46.4,69.2,128.8,44.2,83.8,23.9,134.1,0,100.3,39.8,66.1,58.6,40.6,62.6,35.6,41.5,0,0,2.1,64.9725
Emilia Romagna,0,123.6,185.2,51.8,88.3,67,61,103.5,94.2,32.1,48.5,66.3,41.5,28.6,38.2,74.4,0,0,0,64.9725
Toscana,0,176.5,158.2,104.8,128.1,71.4,102.1,120.4,117.6,36.8,44.6,64.3,48.2,46.4,44.7,44.8,46.5,14.3,61.3,64.9725
Umbria,0,0,0,56,53.3,47.4,96.6,0,73.4,27.9,40.3,47.6,29.6,54.2,28.2,52.8,0,0,0,64.9725
Marche,0,54.7,0,0,52.4,47.2,33.1,0,81.2,34.7,60.1,65,32.2,52.1,30.9,52.8,0,0,0,64.9725
Lazio,0,244.2,0,0,69,55.6,103.7,0,115.7,29.7,53.4,55.6,37,33.1,32.2,39.6,39.9,16.8,56.2,64.9725
Abruzzo,0,89.2,132.1,103.5,55.4,47.6,50.6,0,110.1,36.1,56.7,70.8,38.8,34.3,26.5,40.1,0,21.7,4.7,64.9725
Molise,0,0,106.1,0,45.8,23.4,0,0,133.5,34.2,55.6,57.8,58.5,21.3,38.7,14.4,0,0,0,64.9725
Campania,0,0,0,0,76.9,52.8,16.9,0,143.9,29.1,50.9,33.9,42.4,45.1,38,42.6,75.8,4.2,61.4,64.9725
Puglia,0,0,0,0,113.2,31.5,63.5,0,153.3,35.2,41.2,54.4,48.7,37.6,69.5,35,0,26.5,37.5,64.9725
Basilicata,0,0,120.1,0,49.3,33.8,44.7,0,128.7,26,49,60.2,45.9,18.1,32.9,27.6,0,34.6,47.6,64.9725
Calabria,0,0,105,0,83.3,47.5,108.8,85,152.9,38.8,80.3,42.8,14,37.2,47.3,96.3,56.9,15.7,46.8,64.9725
Sicilia,0,0,0,0,36.8,41.9,41.2,0,85,30,44.6,46.8,16.6,17.1,27.2,64.4,16.5,22.5,0,64.9725
Sardegna,0,0,0,0,46,27.8,35.2,18.8,0,22.4,0,44,0,20.7,4.3,37.6,25.9,12,2.1,64.9725
Italia,59,109.3,131.2,65,75.4,43.7,66.3,81.5,106.2,34.2,49.7,62,40.9,36.7,42.2,45.9,26.9,17.8,34.6,64.9725
